Contract name,Contract description,Polarity
to006 glerl,"The selected contractor is required to have sufficient staff, flexibility, and capability to be available on an as-needed basis. Interested firms must be able to provide all management, tools, supplies, parts, materials, equipment, transportation, and trained labor necessary to design, repair and renovate existing building 3448. Design and repair sprinkler and standpipe system. Design and repair exterior features.
Design and repair HVAC and controls. Option to install insulated metal panels on the exterior of the building. The facility and equipment are permanent construction. The building currently includes functional spaces for a Company Operation Facility (COF) in the basement, unit medical care facility on the first floor, and barracks on the upper three floors. The building occupancy and use will remain as existing.",0
REPAIR AIR HANDLING UNITS BUILDING 106,"The contractor shall conduct construction activities such as renovation, repairs, earthwork, parking lots, communications, security fencing and alarm systems, security team escorts, electrical replacement, roofing and siding replacement, hangar door repair, and generator replacement , building repairs, roof repairs, civil, communication, mechanical, plumbing, structural, electrical, heating, ventilation, replace doors, air conditioning (HVAC), anti-terrorism and force protection.",0
to008 pifsc,"The Department of Agriculture, Forest Service has a requirement for the design and installation of a 14,800 sf building pre-manufactured or similar located at 265 Highway 20 South, Hines, Oregon.

REQUIREMENTS
The contractor shall perform:

Design and installation of a 14,800 sf building pre-manufactured or similar. This includes site demolition, grading, drainage, utilities, landscaping, and hardscaping",0
AEC RENOVATE GUNFIGHTER BALLROOM (GF),"The General Services Administration, Public Buildings Service, Region 8, Denver Federal Center (GSA) has a requirement for custodial, composting, and pest control services at the Denver Federal Center for buildings 1, 1A, 15, 16, 20, 21, 25, 94, 95, 40, 41, 44, 45, 46, 50, 52, 53, 54, 55, 64, 64A, 710, 710A and Guard Shacks 1-7.

BACKGROUND
The Denver Federal Center (DFC) is located adjacent to the foothills of the Colorado Rockies and is only minutes from downtown Denver. The Center houses 28 different agencies in 44 federal buildings, totaling four million square feet of rentable space, occupy the 623-acre campus.

REQUIREMENTS
The Contractor must provide all:

management
supervision
labor
materials
supplies
repair parts
tools and equipment
must plan, schedule, coordinate and assure effective, timely performance of all services",0
AEC DESIGN BUILD CONSUMER FINANCIAL PROTECTION BUREAU AT SUMMIT BUILDING (CFPB),"The Department of Defense (DoD), Joint Interagency Task Force South (JIATFS) Contracting Office may have a continuing requirement for requirement for performance of Facilities Maintenance and Support Services at the Truman Annex Key West, Florida.

PREVIOUS REQUIREMENTS:

This contract provides for facilities maintenance and support services to various buildings, activities, infrastructure and equipment located on JIATFS, Truman Annex Key West, Florida. The purpose of the contract is to support mission accomplishment by providing a comfortable working environment and safe, well-maintained buildings for occupants, users, and visitors to JIATFS.
The duties and requirements for the proper maintenance and repair of JIATFS facility infrastructure include power generation maintenance and repair, Uninterrupted Power Supply (UPS), HVAC maintenance and repair, electrical maintenance and repair, air conditioning, and fire detection and monitoring systems. 
The Contractor shall perform preventive maintenance (PM) and repairs of buildings and structures, real property, and equipment within the JIATFS perimeter (rock line) that are not covered by warranty or maintenance agreements. The contractor shall develop and maintain a written PM plan and schedule that will include a listing of all items and components to be maintained along with inspection, maintenance and shutdown schedules.",0
USACE AEC DESIGN REPAIR AND RENOVATE EXISTING BUILDING 3448 IN FORT WAINWRIGHT ALASKA,"The repairs for E5103 is a comprehensive project that will restore the facility quality to Q1/F1 as well as provide labor, equipment and materials to repair the building to current communication center standards. The project scope will include engineering and design services for the repairs. Building components and systems to be repaired include exterior structural and architectural components; interior walls, floors, ceilings, fixtures and finishes; ADA-compliant accessibility features to include a ramp, elevator, and restrooms; failed or failing heating, ventilation, and air conditioning (HVAC) systems; domestic, sanitary, and heating system plumbing; electrical power supply, capacity, distribution, grounding, and emergency backup; interior, exterior, and emergency lighting; telecommunications cabling and wiring; and fire safety systems, including sprinklers, suppression systems, and egress signage. As a communication center building, Building E5103 will require secure and non-secure repairs and upgrades. Also included is the abatement of HAZMAT materials (asbestos) that are prevalent throughout the structure.",0
AEC CONSTRUCTION SERVICES FOR BUILDING 5 RENOVATIONS AT THE BATAVIA VA MEDICAL CENTER,"The Department of the Army has a requirement for custodial service for USAG-Daegu, Camp Carroll, and Busan Area in Area IV, South Korea.

REQUIREMENTS
This is a non-personal service contract to provide custodial and cleaning services for buildings and family housing quarters located in Camps Henry, George, Walker, SP-47, Carroll, DRMO (A-PO) & Busan area. The Contractor shall perform to the terms and conditions of this contract to complete custodial services provided. This will be an ongoing service that will be provided regularly throughout the period of performance.",0
ACIO-S Cloud Services,"The Department of the Air Force, Air Force Global Strike Command, 20th Air Force, 341st Missile Wing, 341st Maintenance Group, 341st Contracting Squadron has a requirement to repair helicopter hangar at Building 1440.

REQUIREMENTS
Renovation of an existing 3-Bay Hangar to facilitate the bed down of the new MH-139 helicopter at Malmstrom AFB, MT
Work includes:
Removal and replacement of the AFFF fire suppression system with hi-expansion foam
Fire alarm upgrades
Installation of a fuel spill containment system, life safety changes
Hangar floor coating and painting
Additional roof fall protection points
A new 2-ton hangar width hoist
Installation of new electrical distribution to support helicopter maintenance
Mechanical systems upgrades to include the installation of a new chiller, chilled water pumps, heating water pumps, door track heating water pumps
Repairs to the Hangar door track heating loops
Upgrades to the existing mechanical rooms
New compressed air plant
Total replacement of building heating water piping throughout
New Hangar Bay heat recovery ventilators
New Air Handling Units for the entire building",0
AEC DB MOREHEAD CITY PORT FACILITY REPAIRS,"The Department of the Air Force, Air Force Research Laboratory, has a requirement for HVAC modernization to repair air handling units in Building 106 in Rome, NY.

REQUIREMENTS


The contractor shall:

Upgrade air handling systems
Modify/upgrade electrical systems to accommodate HVAC modifications",0
CUSTODIAL SERVICE IN AREA IV SOUTH KOREA,"The Contractor shall:

construct a multi-story consolidated information center and support structures to include a central plant and an Area Distribution Node (A.D.N.) for the communications infrastructure.
provide a secure and Department of Defense (DOD) accredited facility to accommodate and integrate all aspects of intelligence for I MEF and major subordinate commands.
include an operations center, administrative offices, and academic instruction classrooms with video-teleconference capability, management and support spaces, a watch floor on raised access flooring, and secure storage spaces for Marine Corps Information and intelligence Battalions.",0
