Contract name,Contract description,Polarity
AEC NMIC1 REFURBISH CAFETERIA DINING AREA NATIONAL MARITIME INTELLIGENCE CENTER SUITLAND MD,"SMRC understands that NWS requires contractor support to assist in providing specialized CHPS support 
help desk functions performed by the HSG, which provides Tier 1 and Tier 2 specialized help desk 
support for the CHPS operations at RFCs. Our staff will work “shoulder to shoulder” with federal HSG 
staff, and specific day to day guidance on contractor tasking will be provided to contractor personnel by 
the HSG staff. 
HSG CHPS development and sustainment, aided by the contractor, comprises part of a major NWS 
operating plan goal: “Provide 24 x 7 support to address operational issues related to AWIPS and CHPS 
hydrologic software at 13 RFCs and 122 WFOs.” The objective is the stable and functional operation of 
the NWS RFC river forecasting enabled by CHPS. 
HSG support includes that for the operational software suite 
named NWS River Forecast System (NWSRFS) which has 
been the NWS hydrologic forecasting mainstay for over four 
decades. Developed in the 1970’s and 1980’s, the system 
was developed and implemented in an era of limited 
computational and storage capabilities and with 
development concepts prevalent in that time and now 
obsolete. Consequently, NWSRFS is monolithic, with code 
that is intertwined and difficult to separate into functional 
components. More importantly, because of limitations imposed by computer systems at the time of its 
early development, NWSRFS has confounded efforts to support the modern physically based and 
computationally intensive forecast models. Constrained by the available computational technology, its 
fundamental architecture and lack of modularity is a serious barrier to deploying modern advanced 
forecast models and the exploitation of more recent advances in interactive forecasting and modeling. 
For over two decades, NWS managers and developers have recognized the limitations imposed by the 
NWSRFS architecture which made it difficult both to maintain the code base and to incorporate modern 
models as well as modern computing concepts. While the hydrology community was making major 
advances in the science and computational concepts, NWS was unable to leverage these advances to 
improve its own capabilities so that they could be incorporated into a modern NWS forecast operation. 
Significantly, the open architecture and functional software separability that characterizes CHPS allows 
for NWS developers, academic researchers and industry partners easily to connect to the CHPS to test 
new concepts in hydrologic science, graphical display and data products. CHPS has as its underlying 
architecture a software suite called Flood Early Warning System (FEWS or “Delft FEWS”), developed by 
the Deltares Institute for Applied Research based in Delft in the Netherlands. FEWS incorporates an 
open system modular concept that allows easy integration of new forecast models and tools into a 
framework that includes other models and functional components such as real-time database access to 
dynamic and static datasets, data reformatting and graphical displays of both unidimensional (e.g., time 
series) and multidimensional data (e.g., map projections). As such, it provides the fundamental 
functionality to build a complete interactive forecast environment. Understanding of Desired Outcomes – SMRC will provide Tier 2 
specialized help desk support to provide resolution of day-to-day 
technical issues for NWS both for its facilities in Silver Spring and 
its 13 River Forecast Centers (RFC) personnel, during normal 
hours of operation. We will ensure that NWS’ systems and 
applications supporting RFC forecasting are available and 
operational whenever and wherever needed. Our staff will provide 
rapid and effective problem resolution in response to service 
requests. Our staff is prepared to provide NWS operations and 
development personnel, as well as outside collaborators, with 
responsive customer support by knowledgeable, experienced 
personnel using procedures that have proven effective on numerous contracts. 
Approach to Achieving the Desired Outcomes – SMRC has implemented successful, centralized help desk 
models across multiple contracts with numerous federal government clients. Our approach implements 
accountability for individual staff and for the corporation as a whole by establishing a set of Service Level 
Agreements (SLA) at the outset of the task order (TO). The SLAs are a set of customer service 
expectations and associated metrics that allow NWS and SMRC to measure quality of performance. 
Importantly, when examined over a time period, the metrics history may point to a trend in performance 
(positive or negative) and may signal a need for management intervention that may include, for example, 
the additional training. For example, an SLA may be “Rapid return to service of a reported software 
failure.” The metric for the purposes of this illustrative example may be “Return to service within three 
hours of reporting failure.” We will develop and negotiate these SLAs and metrics with NWS as a first 
step in initiating our service following task award. The SLA definitions and associated metrics will be 
made in consultation with the NWS Task Manager to be consistent with priorities for the contracted 
service. 
For efficiency and appropriate personnel resource allocation, help desk support for an organization as 
large and complex as NWS is normally organized into a multi-tiered hierarchy. The specific support to be 
applied in any particular instance depends on the severity of the problem, its effect on forecast operations 
and the skill level required to address it.The NWS field support help desk is organized and operated as a multi-tiered customer service facility 
accepting, resolving, and dispatching technical staff to address requests for technical assistance, changes, 
and/or system software and hardware installations. Typically such an operation consists of three tiers of 
support services each of which is associated with a particular set of priorities, problem severity and staff 
skills. 
 Tier 1 technicians provide over-the-phone (through the use of a dedicated cell phone because the 
technician may be roaming) assistance and resolutions and roaming desk-side assistance. The Tier 1 
technician normally addresses simple user requests and problems that can routinely be resolved in 
less than a day (and often in several minutes) and will not require additional support from other staff 
members. 
 Tier 2 personnel serve as the initial level of escalation when the problem is more complex, requires 
mid-to-senior levels of technical knowledge, and/or affects multiple users. Tier 1 staff, will dispatch 
Tier 2 staff, as necessary, and problems will be resolved within an agreed upon timeframe. 
 Tier 3 normally refers to corporate subject matter experts (SME) or OEM vendor consultants who 
possess an advanced technical understanding of the hardware and software. Tier 3 experts are 
dispatched as necessary by Tier 1 or Tier 2 staff and only under the most difficult or unusual of 
circumstances and particularly in an emergency situation. 
Our customer relationship processes capture and track all “issues” through our requirements management 
system (i.e., help desk software) by creating a “service ticket” for each event. Service tickets are issued by 
Tier 1 help desk personnel who normally represent a first line of contact by the supported user 
community. The service ticket is initiated as a result of a phone call, an e-mail contact, a Web-based 
request or a walk-up in-person conversation. Each ticket is categorized and prioritized to match it to a 
corresponding SLA to establish its expected resolution time. It is SMRC’s approach to the SLA 
management process that facilitates the overall notification and escalation processes in tracking and resolving service tickets. Exhibit 2 outlines the SMRC service ticket tracking and problem resolution 
methodology and the process of problem escalation leading to efficient resolution. 
SMRC will support NWS through the existing NWS service ticket system and a multi-tiered help desk 
system. Service calls will be received via multiple media, ranging from a central phone number, Web 
input, e-mail, or even a hallway encounter, and then issued to our on-duty CHPS Hydrometeorologist. 
When a request for technical assistance is received, it is entered into the NWS help desk system by our 
CHPS Hydrometeorologist. The CHPS Hydrometeorologist’s prime responsibility is to keep the customer 
informed as to the status of his/her request and to ensure that service tickets are closed within the SLA 
time. Our specialist closes a service ticket after reporting the problem resolution to the customer and 
receiving the customer’s acceptance. The processes and procedures for Tier 1 support describe the 
required actions resolve a problem and close a service ticket. 
The accumulated service tickets with their problem 
resolution description will be maintained in a knowledge 
database for future reference by help desk personnel. That 
knowledge base will be a valuable tool for future reference, 
assisting the help desk personnel to track frequently 
recurring problems or user requests and by providing a 
store of information to assist personnel in tackling the same 
or similar issue in the future. Additionally, we will maintain 
a database of frequently asked questions (FAQ), that are 
helpful particularly to Tier 1 personnel, so as to avoid 
service potential ticket escalation if the issue in question has 
occurred before and has occurred frequently. 
Our approach to help desk support includes documentation of Standard Operating Procedures (SOP) 
associated with customer support (i.e., system administration, network administration, desktop 
administration, etc.). These SOPs will provide detailed operational procedures for all required services 
and system maintenance. We always establish SOPs for call handling, call tracking, call escalation, and 
call status review. Typically, these procedures cover methods to initiate a call, provide an overview of 
how calls are resolved, and describe priorities and response times in terms of a variety of problems. We 
will maintain the SOPs as “living documents,” incorporating NWS-approved changes throughout the life 
of the TO. Additionally, the SOPs will outline NWS-established reporting requirements and SLAs. 
Emergency Support – SMRC understands the importance of immediately responding to emergency 
service requests and situations. Emergencies are defined as a system event that seriously impedes forecast 
operations, a security breach, a loss of capability caused by fire or water damage, or a loss of capability or 
functionality associated with the installation of a software/hardware upgrade or new version that degrades 
the users’ ability to continue to work. For emergency service requests, we will immediately respond to the 
call and initiate procedures for emergency service. Such procedures include assigning the service ticket as 
an emergency call in the call management system; notifying the NWS TM and immediately taking steps 
to track, diagnose, and effect the problem resolution; and immediately invoking the necessary resources to 
provide resolution (such as subject-matter experts from corporate team resources or technical support 
from the OEM vendor). Emergency service calls will take precedence above all other types of service 
requests until resolved. Our CHPS personnel will continually update the NWS TM (and COTR as 
necessary) until the emergency is resolved. 
SMRC, in consultation with other help desk service providers at NWS, will also recommend, propose, 
implement, and integrate other tools as needed to collaborate with systems currently in use at NWS RFCs. 
This integration of network management, change management, configuration management, asset 
management, and systems management tools will facilitate cross-functional analysis of services and 
performance. It will also allow us to record, view, and track service problems in real time and help Quality Assurance – SMRC has had extensive experience in developing and adhering to quality assurance 
procedures for help desk support on several government contracts. For this TO, we will monitor the 
performance of the staff in handling service tickets and collecting, evaluating, and reporting performance 
statistics. To ensure that all tickets were closed properly, our staff will contact users when a service ticket is 
ready to be closed requesting validation of problem resolution. Quality control of help desk services is 
possibly more critical than any other contract activity, because it is customer centric. Resolving customer 
requests with a tool-enabled, knowledgeable, and trained staff is key to SMRC’s overall Quality Plan. In 
providing support for our customers, SMRC includes help desk services in our continual process 
improvement cycle. Quality measurements are made reflecting the primary functions of the help desk. These 
include speed of call answer, courtesy of call handler, quality of problem resolution, quality of the data 
capture, timeliness of problem resolution, and overall customer satisfaction. Our approach will ensure that 
customer support requests are processed, analyzed, and resolved in a professional and timely manner and 
that RSIS meets or exceeds the required outcomes proscribed in the PWS. 
Help desk commercial packages (e.g., Remedy or Heat) normally provide several means to establish and 
monitor time-based SLAs for help desk management. Metrics and thresholds can be set using the 
provided functionality. For example, use of Remedy’s Business Process Automation Module (BPAM) 
provides warnings prior to service-level failure. Alerts can be set up according to requirements stated in 
SLAs, urgent calls can be displayed, and tracking and reporting can be performed by the Remedy, 
allowing for performance tracking against requirements. Effective structuring of the help desk tool and 
modules will provide for quick response and issue turnaround for improvement. We will also investigate 
other tool implementations to ensure that tools are being used to their maximum performance. We will 
use and improve support tool reporting capabilities to ensure accurate usage reporting. These activities 
will help identify areas for improvement in meeting NWS’ PWS metrics thresholds. 
2.2.2 Technical Support for NWS Projects 
Associated with CHPS 
Technical Support for Special Projects – While help 
desk support will take precedence over other activities, 
SMRC’s Hydrometeorologists will support ongoing and 
future special projects associated with enhancing and 
upgrading CHPS to further improve RFC forecast 
operations and efficiency. This work may be efforts 
comprising several days or up to several months. We will 
work with other NWS developers and contractors in 
designing, developing and implementing new 
functionality. We will perform both desktop analyses as 
well as rapid prototyping of new concepts. Our experts 
will be full partners with NWS in evaluating new 
software developed by the participating CHPS community, particularly special functionality developed by 
participants at RFCs. To this end we will promote the original intent of NWS’ launch of CHPS as a 
community effort. 
2.2.3 Providing Technical Guidance 
Personnel Skillsets – The ideal candidates to work with NWS HSG will have knowledge of the Linux 
operating system, XML, client-server implementations, and software configuration 
techniques. Understanding of techniques involving automated workflow operations, interactive user 
interfaces, and relational data stores are required. Strong oral and written communications skills are 
necessary as the duties involve regular interaction with other NWS HQ support staff and RFC field 
staff. Initial knowledge of the FEWS and CHPS software system is not required, but the candidate is",1
to006 glerl,"The selected contractor is required to have sufficient staff, flexibility, and capability to be available on an as-needed basis. Interested firms must be able to provide all management, tools, supplies, parts, materials, equipment, transportation, and trained labor necessary to design, repair and renovate existing building 3448. Design and repair sprinkler and standpipe system. Design and repair exterior features.
Design and repair HVAC and controls. Option to install insulated metal panels on the exterior of the building. The facility and equipment are permanent construction. The building currently includes functional spaces for a Company Operation Facility (COF) in the basement, unit medical care facility on the first floor, and barracks on the upper three floors. The building occupancy and use will remain as existing.",0
REPAIR AIR HANDLING UNITS BUILDING 106,"The contractor shall conduct construction activities such as renovation, repairs, earthwork, parking lots, communications, security fencing and alarm systems, security team escorts, electrical replacement, roofing and siding replacement, hangar door repair, and generator replacement , building repairs, roof repairs, civil, communication, mechanical, plumbing, structural, electrical, heating, ventilation, replace doors, air conditioning (HVAC), anti-terrorism and force protection.",0
to008 pifsc,"The Department of Agriculture, Forest Service has a requirement for the design and installation of a 14,800 sf building pre-manufactured or similar located at 265 Highway 20 South, Hines, Oregon.

REQUIREMENTS
The contractor shall perform:

Design and installation of a 14,800 sf building pre-manufactured or similar. This includes site demolition, grading, drainage, utilities, landscaping, and hardscaping",0
to005 oar aoml,"1.3 Objectives
Since all three FMCs (OAR/AOML, OAR/STAR, NESDIS/STAR) have common control and compliance requirements, the goal of this project will be to modify the development and production infrastructure currently in operation at OAR/AOML to accept and process internal management control actions from multiple FMCs (AOML/PMEL/NESDIS).
The development infrastructure at OAR/AOML will need to implement additional infrastructure in order to scale up development efforts to meet the overall development requirements. The code base will also need to be reviewed to identify new requirements as well as any necessary code refactoring. One of the modules in the system will need to function on mobile devices such as Apple IPAD with the ability to work offline.
Infrastructure changes
Implement Automated Testing x Implement Continuous Integration Server
Code Review & User Requirements
Work with OAR/AOML staff to create and document system requirements for enhancement approved by FMC management x Work with OAR/AOML staff to implement enhancements based on the priorities approved by FMC management x Review existing and new code for any errors and inefficiencies to include possible system vulnerabilities Review secure code review procedures and provide possible enhancements x Implement mobile based module that has the ability to work offline and data sync once network connection is re-established
1.03 Scope/High-level Description: The contractor personnel will work with OAR/AOML personnel on-site in Miami. OAR/AOML uses Oracle databases with a customized based JavaEE front end based on the Vaadin framework and Vaadin CDI. It also uses a JasperReports reporting engine. The delivered solutions (computer systems, websites, computer code, etc.) will be a browser-based solution that will not require any type of client installed program (such as java plugin, etc) that will provide all users in their respective office the ability to process their own actions.
",1
AEC RENOVATE GUNFIGHTER BALLROOM (GF),"The General Services Administration, Public Buildings Service, Region 8, Denver Federal Center (GSA) has a requirement for custodial, composting, and pest control services at the Denver Federal Center for buildings 1, 1A, 15, 16, 20, 21, 25, 94, 95, 40, 41, 44, 45, 46, 50, 52, 53, 54, 55, 64, 64A, 710, 710A and Guard Shacks 1-7.

BACKGROUND
The Denver Federal Center (DFC) is located adjacent to the foothills of the Colorado Rockies and is only minutes from downtown Denver. The Center houses 28 different agencies in 44 federal buildings, totaling four million square feet of rentable space, occupy the 623-acre campus.

REQUIREMENTS
The Contractor must provide all:

management
supervision
labor
materials
supplies
repair parts
tools and equipment
must plan, schedule, coordinate and assure effective, timely performance of all services",0
BG-133R-17-RQ-0444_Volume 1 Technical Approach_SMRC,"Cyclical replacement of IMET IT systems/components (i.e. moving existing systems/services onto new hardware and/or to new releases of Operating Systems.)
Patching Systems applications and/or Operating Systems
Evaluation of requirements (Data flow, OS, etc.) for new and/or developed NWS LMET applications
Assistance in the development and/or implementation of baseline security requirements for Fire Weather IMET systems.
Provide helpdesk support for IMET system users
Documentation and property management assistance of IMET systems
	Advising NOAA8885 System Owner (SO) & Fire Weather Program managers on IT matters and trends
Representing SO & Fire Weather Program managers on internal and external teams & committees as necessary.
Provide general project oversight, coordination and management for each work task.",1
AEC DESIGN BUILD CONSUMER FINANCIAL PROTECTION BUREAU AT SUMMIT BUILDING (CFPB),"The Department of Defense (DoD), Joint Interagency Task Force South (JIATFS) Contracting Office may have a continuing requirement for requirement for performance of Facilities Maintenance and Support Services at the Truman Annex Key West, Florida.

PREVIOUS REQUIREMENTS:

This contract provides for facilities maintenance and support services to various buildings, activities, infrastructure and equipment located on JIATFS, Truman Annex Key West, Florida. The purpose of the contract is to support mission accomplishment by providing a comfortable working environment and safe, well-maintained buildings for occupants, users, and visitors to JIATFS.
The duties and requirements for the proper maintenance and repair of JIATFS facility infrastructure include power generation maintenance and repair, Uninterrupted Power Supply (UPS), HVAC maintenance and repair, electrical maintenance and repair, air conditioning, and fire detection and monitoring systems. 
The Contractor shall perform preventive maintenance (PM) and repairs of buildings and structures, real property, and equipment within the JIATFS perimeter (rock line) that are not covered by warranty or maintenance agreements. The contractor shall develop and maintain a written PM plan and schedule that will include a listing of all items and components to be maintained along with inspection, maintenance and shutdown schedules.",0
USACE AEC DESIGN REPAIR AND RENOVATE EXISTING BUILDING 3448 IN FORT WAINWRIGHT ALASKA,"The repairs for E5103 is a comprehensive project that will restore the facility quality to Q1/F1 as well as provide labor, equipment and materials to repair the building to current communication center standards. The project scope will include engineering and design services for the repairs. Building components and systems to be repaired include exterior structural and architectural components; interior walls, floors, ceilings, fixtures and finishes; ADA-compliant accessibility features to include a ramp, elevator, and restrooms; failed or failing heating, ventilation, and air conditioning (HVAC) systems; domestic, sanitary, and heating system plumbing; electrical power supply, capacity, distribution, grounding, and emergency backup; interior, exterior, and emergency lighting; telecommunications cabling and wiring; and fire safety systems, including sprinklers, suppression systems, and egress signage. As a communication center building, Building E5103 will require secure and non-secure repairs and upgrades. Also included is the abatement of HAZMAT materials (asbestos) that are prevalent throughout the structure.",0
AEC REPAIR HELICOPTER HANGAR BUILDING 1440,"• Software and Hardware configuration management
• Environment Management (Linux and any Virtualized environments, operating system, COTS and security patches)
• Release documentation
• Testing and quality of all baseline software deployed to the field
• Linux System Administration
• Trouble Tickets support
• Release/Project Management for all the releases deployed to the field: baseline updates; maintenance releases & emergency releases
• Support Software Development as necessary of existing and new software
SMRC will follow the AQL methodology for continuously monitoring and periodically • SMRC staff will write documentation according to project requirements. This includes SOPs, requirements documents and other documentation
• SMRC developers will develop software and create associated configuration files. They will also prepare and submit code and configuration files for internal review and conduct thorough testing and fix all bugs uncovered during testing.
• SMRC staff will provide support to NWFSC, including the Montlake facility and its five research stations (Mukilteo, Manchester, Hammond, Pasco, and Newport) during beta testing
• SMRC staff will reproduce problems experienced at field offices, determine the cause of the problem, and provide a workaround if needed.
• SMRC staff will provide effective communication to NWFSC as appropriate.
• SMRC staff will attend technical meetings
• SMRC System Administrations provide technical support for Linux Servers.
Development of Project Plans, sprints, and daily scrums using Confluence Wiki, JIRA, JIRA Agile  Developed Project Plans on NOAA POEMS and used tools like JIRA and Confluence on NOAALink CHPS project for requirements management
Analysis of existing application prototypes; Evaluated JAVA J2EE Dashboard prototypes as part of the NOAALink AOML Project
Software requirements analysis via use cases, process flows, function analysis and reporting requirements; Models use cases, process flows and reporting requirements on the NOAALink CHPS project
Database design (preliminary and detailed) using SQL Developer and Modeler; Database administrators use SQL Modeler and Developer tools on the NOAA CWOW program
Software development /web design using: Oracle APEX, SQL, Oracle PL/SQL, JavaScript, HTML5, CSS, XML, Python; Web developers use HTML5, CSS, XML and J2EE applications on the NOAALink AOML Project
Interface to Oracle DBMS Configures interfaces to large scale databases on the NOAA CWOW project
Software unit testing; Software regression, function, load, data quality assurance, and integration testing; Used JUnit and/or similar tools (Selenium, Solarwinds) for unit testing on the NOAALink AOML Project
Associated life cycle application document creation and test scripts; Used JUnit and/or similar tools (Selenium, Solarwinds) for unit testing on the NOAALink AOML Project
Maintain all progress status using JIRA, JIRA Agile and SDM MyTask; Maintains requirements using a cloud-based tool similar to JIRA on the NOAA POEMS contract
Help desk support for OMI custom applications; Manages help desks for custom applications on NOAALink PMEL, IMET and NOAA CWOW programs
Perform Linux System Administration duties (as backup to NWFSC Linux System Administrator). Manages large Linux deployments for High Performance Computing (HPC) on the NOAALink GLERL program
Web Designer/Developer III
(APEX) (Position 1)

Web Designer/Developer III
(APEX/ ArcGIS) (Position 2)

Web Designer/ Developer III (Java/Script) (Position 6) Modify and/or enhance existing software applications (1.3.1)
Develop new software applications (1.3.3) 
Troubleshoot/fix errors occurring in… software applications (1.3.4)
Adhere to project-specific SW development guidelines (1.3.13)
Complete software projects…according to…schedules (1.3.15)
Participate in status and technical meetings (1.3.17)
Track all activities in SDM My Task application by Project (1.3.18) a) Dev/Design with Oracle APEX, SQL, Oracle PL/SQL, JavaScript, HTML5, CSS, XML, Python
b) Analysis of existing application prototypes 
c) Database design using SQL Developer and Modeler 
d) Interface to Oracle DBMS
e) Maintain progress status using JIRA, JIRA Agile and SDM MyTask 
Quality Assurance Specialist III (Positions 3 and 8) Capture requirements and business process flows (1.3.2)
Participate in field evaluations of SW applications (1.3.7) 
Provide user support for existing and new applications (1.3.8)
Adhere to DOC/NOAA/NMFS IT policies/ procedures (1.3.12)
Assure that SW development projects are complete, accurate (1.3.14) 
Participate in status and technical meetings (1.3.17)
Track all activities in SDM My Task application by Project (1.3.18)
 a) Software unit testing 
b) Software regression, function, load, data quality assurance, and integration testing
c) Associated life cycle application document creation, test scripts
d) Maintain progress status using JIRA, JIRA Agile and SDM MyTask
e) Help desk support for OMI custom applications 

Programmer Analyst II
(Position 4)
 Prepare and deliver software development reviews (1.3.5)
Prepare system and user requirements (1.3.6)
Provide user support for existing and new applications (1.3.8)
Review and create metadata for NWFSC data sets (1.3.9)
Develop data migration and dissemination routines (1.3.10)
Complete software projects…according to…schedules (1.3.15)
Participate in status and technical meetings (1.3.17)
Track all activities in SDM My Task application by Project (1.3.18) a) Develop Project Plans, sprints, daily scrums using Confluence Wiki, JIRA, JIRA Agile 
b) SW requirements analysis via use cases, process flows, function analysis, reporting requirements 
c) Maintain progress status using JIRA, JIRA Agile and SDM MyTask 

System Administrator III
(Position 5) Provide Linux System Administration (1.3.11)
Participate in status and technical meetings (1.3.17) a) Help desk support for OMI custom applications
b) Perform Linux System Administration duties (as backup to NWFSC Linux System Administrator)
Technical Writer
(Position 7) Capture requirements and business process flows (1.3.2) 
Prepare and deliver software development reviews (1.3.5)
Prepare system and user requirements (1.3.6)
Review and create metadata for NWFSC data sets (1.3.9)
Participate in status and technical meetings (1.3.17) a) Associated life cycle application document creation and test scripts 

",1
